project_id,project_ref,gsp,licence_area,technology,mw_installed,mw_export,phase,queue_position,queue_pct,gsp_total_mw,gsp_project_count,firm_date,firm_date,acceptance_date,protections,gsp_fault_constrained,spv_name,spv_postcode,spv_lat,spv_lon,spv_address,spv_county,ecr_flexible,ecr_target_energisation,ecr_mpan,ecr_match_score,ecr_match_type,location_source,ch_company_number,ch_status,ch_incorporated,ch_last_filing,ch_has_charges,ch_charge_count,ch_match_name,ch_match_score,ch_dormant,repd_ref,repd_planning_status,repd_lpa,repd_operator,repd_county,repd_region,repd_postcode,repd_date_refused,repd_date_granted,repd_date_operational,repd_date_construction,repd_match_score,tier,tier_reasons,acq_signal,acq_rationale,last_updated,NESO Countersign Date,Customer Acceptance Date,Obtain Min Info Date,gate_outcome
1,G2-0001,Swansea North Grid,South Wales,Dispatchable,15.0,15,1.0,1,0.058823529411764705,,,31/03/2027,,01/09/2016,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,,,,51.66618,-3.957,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:6%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at Swansea North Grid. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,06/09/2016,18/11/2011,08/06/2011,Gate 2
2,G2-0002,Rassau G.S.P.,South Wales,Wind,14.0,12.5,1.0,3,0.14285714285714285,,,31/10/2025,,01/09/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),, hendy wind farm limited,LD1 5SE,52.16801,-3.2509,Near Llandrindod Wells,data not available,data not available,2026-12-15 00:00:00,data not applicable,100.0,gsp+mw+tech,ecr,07638660,active,2011-05-18,2025-06-20,True,5,HENDY WIND FARM LIMITED,100.0,False,"repd_ref    AA577
repd_ref     3834
repd_ref      NaN
Name: 3051, dtype: object",Abandoned,Rhondda Cynon Taf,Npower Renewables,Mid Glamorgan,Wales,,,,,,100.0,RED,planning:Abandoned|spv:active|charges:5registered|queue_pct:14%,HIGH,Planning refused but SPV still active and queue position is front-half at Rassau G.S.P.. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/09/2016,04/12/2020,25/07/2012,Gate 2
3,G2-0003,Swansea North Grid,South Wales,Wind,5.0,5,1.0,4,0.11764705882352941,,,01/07/2025,,01/09/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,Energyfarm uk pencarreg llp,SA19 7RF,52.0568,-4.07625,data not available,data not available,data not available,2026-04-30 00:00:00,data not applicable,100.0,gsp+mw+tech,ecr,OC428002,active,2019-07-10,2025-07-07,False,0,ENERGYFARM UK PENCARREG LLP,100.0,False,"repd_ref    04054W3
repd_ref       2567
repd_ref        NaN
Name: 2080, dtype: object",Operational,Isle of Anglesey,RWE npower,Gwynedd,Wales,,,,1996-05-01 00:00:00,,100.0,GREEN,planning:operational(1996-05-01)|spv:active|queue_pct:12%,MEDIUM,"GREEN (consented, active SPV, good queue) but pre-FID — no registered charges yet. Project is real and progressing but not yet at financial close. A co-development or offtake partnership (Path B) could be attractive to both sides: nuclear baseload + data centre demand provides a stronger bankability case than merchant BESS or solar alone. 5 MW at Swansea North Grid.",2026-05-07T19:15:52,06/09/2016,06/03/2013,12/10/2012,Gate 2
4,G2-0004,Pyle Grid,South Wales,Wind,45.0,35,1.0,5,0.1,,,31/10/2028,,01/09/2016,Protection Clause 2a: Projects which are significantly progressed (CMP435),,Cenin renewables ltd,DATA NOT AVAILABLE,51.52125,-3.69407,data not available,data not available,data not available,2027-02-19 00:00:00,data not applicable,100.0,gsp+mw+tech,gsp,07598482,active,2011-04-11,2026-04-11,True,5,CENIN RENEWABLES LIMITED,90.9,False,"repd_ref    10011W5
repd_ref       2633
repd_ref        NaN
Name: 2115, dtype: object",Appeal Refused,Bridgend,AMEC,Mid Glamorgan,Wales,,2002-03-13 00:00:00,,,,100.0,RED,planning:refused(2002-03-13)|spv:active|charges:5registered|queue_pct:10%,HIGH,Planning refused but SPV still active and queue position is front-half at Pyle Grid. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/09/2016,14/10/2014,17/10/2012,Gate 2
5,G2-0005,WALPOLE 132kV S STN,East Midlands,Solar,13.0,18,1.0,6,0.11538461538461539,,,02/12/2026,,01/11/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),TRUE, padero solaer ltd,NG34 0NJ,52.89023,-0.30435,Cowbit Cp,data not available,data not available,2027-04-16 00:00:00,data not applicable,100.0,gsp+mw+tech,ecr,08021337,active,2012-04-05,2026-04-11,True,4,PADERO SOLAER LTD,100.0,False,"repd_ref    C1237
repd_ref     1434
repd_ref      NaN
Name: 1154, dtype: object",Planning Permission Refused,South Kesteven,Lark Energy,Lincolnshire,East Midlands,,2013-12-11 00:00:00,,,,100.0,RED,planning:refused(2013-12-11)|spv:active|charges:4registered|queue_pct:12%,HIGH,Planning refused but SPV still active and queue position is front-half at WALPOLE 132kV S STN. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/11/2016,06/08/2013,18/07/2013,Gate 2
6,G2-0006,WALPOLE 132kV S STN,East Midlands,Dispatchable,5.0,18,1.0,6,0.11538461538461539,,,02/12/2026,,01/11/2016,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),TRUE,,,52.74509,0.22407,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:12%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at WALPOLE 132kV S STN. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,06/11/2016,06/08/2013,18/07/2013,Gate 2
7,G2-0007,Uskmouth,South Wales,Dispatchable,20.0,20,1.0,9,0.07692307692307693,,,11/10/2029,,26/08/2022,Protection Clause 2a: Projects which are significantly progressed (CMP435),,,,51.56077,-2.99352,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:8%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at Uskmouth. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,26/08/2022,05/02/2021,30/06/2014,Gate 2
8,G2-0008,Pembroke Power Station,South Wales,Solar,9.9,9.9,1.0,10,0.125,,,30/06/2027,,01/09/2016,Protection Clause 2a: Additional protection for projects contracted to connect on or before 31st December 2027,TRUE, wse pembrokeshire limited,SA72 4SU,51.68967,-4.87666,A477,Pembrokeshire,data not available,2027-11-30 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,12839453,active,2020-08-26,2025-05-07,False,0,WSE PEMBROKESHIRE LIMITED,100.0,False,"repd_ref     NaN
repd_ref    5730
repd_ref     NaN
Name: 4619, dtype: object",Abandoned,Ceredigion,Earthworm/ EW Capital,Ceredigion,Wales,SA40 9TR,,,,,100.0,RED,planning:Abandoned|spv:active|queue_pct:12%,HIGH,Planning refused but SPV still active and queue position is front-half at Pembroke Power Station. The grid connection offer may survive the planning failure — this is the clearest case for connection inheritance (Path A). Nuclear plant could acquire the SPV and re-apply with a different technology.,2026-05-07T19:15:52,06/09/2016,29/10/2014,25/07/2014,Gate 2
9,G2-0009,Uskmouth,South Wales,Solar,41.0,41,1.0,11,0.15384615384615385,,,30/10/2029,,01/09/2016,,, wentloog farmers' solar scheme limited,NP10 8SR,51.52988,-3.0339,Hawse Lane,data not available,data not available,2027-02-11 00:00:00,data not applicable,100.0,gsp+mw+tech (ambiguous),ecr,08636572,active,2013-08-05,2025-08-04,True,3,WENTLOOGE FARMERS' SOLAR SCHEME LIMITED,98.7,False,"repd_ref     NaN
repd_ref    7469
repd_ref     NaN
Name: 5704, dtype: object",Planning Permission Granted,Welsh Government (NSIP),Spring Dev 2,Carmarthenshire,Wales,SA18 3RE,,,,,100.0,AMBER,spv:active|charges:3registered|queue_pct:15%,LOW,"AMBER with charges registered and good queue position at Uskmouth. Project is progressing toward financial close. Low distress, but track for any signs of developer difficulty. A voluntary exit at this stage would be priced near full value.",2026-05-07T19:15:52,06/09/2016,20/03/2015,28/10/2014,Gate 2
10,G2-0010,GRENDON 132kV S STN,East Midlands,Dispatchable,15.0,15,1.0,12,0.037037037037037035,,,01/12/2026,,01/02/2017,Protection Clause 1: Projects contracted to connect by end 2026 (CMP435),,,,52.54666,-1.61581,,,,,,0.0,none,gsp,,,,,,,,,,,,,,,,,,,,,0.0,GREY,queue_pct:4%|no_ecr_match|no_repd_match|no_ch_record,MEDIUM,"No public trace but front-half queue position at GRENDON 132kV S STN. May be a real Phase 2 project with slow data propagation, or a speculative placeholder. Worth direct outreach to NGED to confirm queue status before investing diligence effort.",2026-05-07T19:15:52,06/02/2017,26/03/2020,29/10/2014,Gate 2
